Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
60,60,15/01/2022,10,12,2,0,0,3.5,19.41,19.3,GLADE South,OUT,N/A,small,16.0905,3.3195,3.2095,0.11,12,0.12
61,61,17/01/2022,50,3,13,44,48,27,152.57,138.62,Airstrip,OUT,N/A,small,16.0905,136.4795,122.5295,13.95,48,0.48
62,62,17/01/2022,60,10,0,10,21,10.25,59.67,57.4,Airstrip,OUT,N/A,small,16.0905,43.5795,41.3095,2.27,21,0.21
63,63,17/01/2022,70,37,30,7,45,29.75,218.58,200.57,Airstrip,OUT,N/A,big,32.334,186.246,168.236,18.01,45,0.45
64,64,17/01/2022,100,36,41,55,56,47,246.66,226.5,Airstrip,OUT,N/A,big,32.334,214.326,194.166,20.16,56,0.56
65,65,17/01/2022,100,63,59,57,59,59.5,345.5,309.63,Airstrip,OUT,N/A,big,32.334,313.166,277.296,35.87,63,0.63
66,66,17/01/2022,90,25,30,33,29,29.25,204.53,182.31,Airstrip,OUT,N/A,big,32.334,172.196,149.976,22.22,33,0.33
67,67,17/01/2022,10,0,5,2,0,1.75,38.87,36.18,Airstrip,OUT,N/A,small,16.0905,22.7795,20.0895,2.69,5,0.05
68,68,17/01/2022,40,5,7,5,7,6,62.22,56.58,Airstrip,OUT,N/A,small,16.0905,46.1295,40.4895,5.64,7,0.07
69,69,17/01/2022,5,0,1,4,4,2.25,20.07,19.55,Airstrip,OUT,N/A,small,16.0905,3.9795,3.4595,0.52,4,0.04
70,70,17/01/2022,100,37,36,35,37,36.25,366.16,333.85,Airstrip,IN,AM,big,32.334,333.826,301.516,32.31,37,0.37
71,71,17/01/2022,90,53,44,44,33,43.5,312.55,276.9,Airstrip,IN,AM,big,32.334,280.216,244.566,35.65,53,0.53
72,72,17/01/2022,0,0,0,0,0,0,0,0,Airstrip,OUT,N/A,,0,0,0,0,0,0
73,73,17/01/2022,70,45,33,30,23,32.75,175.55,156.56,Airstrip,IN,AM,big,32.334,143.216,124.226,18.99,45,0.45
74,74,17/01/2022,30,8,3,33,0,11,82.56,67.96,Airstrip,OUT,N/A,small,16.0905,66.4695,51.8695,14.6,33,0.33
75,75,17/01/2022,100,48,41,44,44,44.25,313.87,218.69,Airstrip,OUT,N/A,big,32.334,281.536,186.356,95.18,48,0.48
76,76,17/01/2022,100,31,30,30,45,34,230.9,216.54,Airstrip,IN,AM,big,32.334,198.566,184.206,14.36,45,0.45
77,77,17/01/2022,15,15,8,2,2,6.75,27.45,25.66,Airstrip,OUT,N/A,small,16.0905,11.3595,9.5695,1.79,15,0.15
78,78,17/01/2022,30,9,30,30,25,23.5,88.03,80.53,Airstrip,OUT,N/A,big,32.334,55.696,48.196,7.5,30,0.3
79,79,17/01/2022,100,69,77,60,55,65.25,282.35,256.46,Airstrip,OUT,N/A,big,32.334,250.016,224.126,25.89,77,0.77
80,80,17/01/2022,15,5,0,3,17,6.25,55.05,52.77,Airstrip,OUT,N/A,big,32.334,22.716,20.436,2.28,17,0.17
81,81,17/01/2022,35,20,6,30,3,14.75,56.03,51.12,Airstrip,OUT,N/A,small,16.0905,39.9395,35.0295,4.91,30,0.3
82,82,17/01/2022,35,6,6,18,14,11,37.42,35.73,Airstrip,OUT,N/A,small,16.0905,21.3295,19.6395,1.69,18,0.18
83,83,17/01/2022,95,49,55,39,47,47.5,298.86,269.54,Airstrip,IN,AM,big,32.334,266.526,237.206,29.32,55,0.55
84,84,17/01/2022,100,40,34,53,69,49,333.28,307.21,Airstrip,OUT,N/A,big,32.334,300.946,274.876,26.07,69,0.69
85,85,17/01/2022,100,33,36,39,45,38.25,412.1,372.35,Airstrip,IN,AM,big,32.334,379.766,340.016,39.75,45,0.45
86,86,17/01/2022,15,13,0,11,9,8.25,31.03,29.3,Airstrip,OUT,N/A,small,16.0905,14.9395,13.2095,1.73,13,0.13
87,87,17/01/2022,100,17,27,27,23,23.5,208.49,199.92,Airstrip,IN,AM,big,32.334,176.156,167.586,8.57,27,0.27
88,88,17/01/2022,5,0,0,0,0,0,18.06,17.29,Airstrip,OUT,N/A,small,16.0905,1.9695,1.1995,0.77,0,0
89,89,17/01/2022,100,46,42,26,47,40.25,255.83,233.39,Airstrip,IN,AM,big,32.334,223.496,201.056,22.44,47,0.47
90,90,17/01/2022,20,2,1,15,0,4.5,30.81,28.62,Airstrip,OUT,N/A,small,16.0905,14.7195,12.5295,2.19,15,0.15
91,91,19/01/2022,70,8,6,34,27,18.75,93.99,86.96,North,OUT,N/A,small,16.0905,77.8995,70.8695,7.03,34,0.34
92,92,19/01/2022,25,0,8,0,0,2,28.38,25.19,North,OUT,N/A,small,16.0905,12.2895,9.0995,3.19,8,0.08
