,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m),0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
20,Mpala01-21,21,0.3775510204081632,0.2857142857142857,0.3775510204081632,0.2857142857142857,21.0,21.0,14/01/2022,95.0,47.0,50.0,26.0,22.0,36.25,244.19,238.38,KLEE,OUT,,big,32.334,211.856,206.046,5.81,50.0,0.5,0.020606281235814,0.0380927789956331,0.0707054138183593,0.0991027373820543,0.1670383408665657,0.194769874215126,0.0756244286894798,0.0447396896779537,1.0,0.0,0.02,0.1120400756654785,0.0483870967741935,0.6517524266081576,1.0,0.0,0.02,0.0,0.0,0.3251038928665309,0.8656066911192901,0.6729444732424259,0.8656066911192901,0.6729444732424259,0.10820083638991126,0.09613492474891798,5.328099444832504
21,Mpala01-22,22,0.4545454545454545,0.3636363636363636,0.4545454545454545,0.3636363636363636,22.0,22.0,14/01/2022,40.0,20.0,12.0,0.0,6.0,9.5,102.86,100.61,KLEE,OUT,,small,16.0905,86.7695,84.5195,2.25,20.0,0.2,0.0219177864491939,0.0324631882831454,0.0445302240550518,0.0672481171786785,0.1213603535294532,0.1278018504381179,0.0540860071778297,0.0284826941788196,1.0,0.0,0.02,0.1564922568134806,0.032258064516129,0.6554817739013927,1.0,0.0,0.02,0.0,0.0,0.3766374453037798,1.0945906070947637,0.9039702474861141,1.0945906070947637,0.9039702474861141,0.13682382588684547,0.1291386067837306,4.436982276970774
22,Mpala01-23,23,0.3461538461538461,0.3269230769230769,0.3461538461538461,0.3269230769230769,23.0,23.0,14/01/2022,70.0,26.0,4.0,7.0,40.0,19.25,99.01,96.35,KLEE,OUT,,small,16.0905,82.9195,80.2595,2.66,40.0,0.4,0.0205908641219139,0.0433279536664485,0.0558212585747242,0.0692348629236221,0.0899618080258369,0.0901956036686897,0.0554646290838718,0.0205496363341808,1.0,0.0,0.02,0.2217402976032494,0.032258064516129,0.6319781608682513,1.0,0.0,0.02,0.0,0.0,0.3554805323516712,0.8306274858982303,0.7917913141840273,0.8306274858982303,0.7917913141840273,0.10382843573727879,0.11311304488343246,4.385265135066064
23,Mpala01-24,24,0.46,0.4,0.46,0.4,24.0,24.0,14/01/2022,20.0,3.0,0.0,5.0,13.0,5.25,33.59,32.3,KLEE,OUT,,small,16.0905,17.4995,16.2095,1.29,13.0,0.13,0.0205892082303762,0.0290859518572688,0.0352190490812063,0.0554408719763159,0.0669040466845035,0.0680000036954879,0.041275717318058,0.0143351778388023,1.0,0.0,0.02,0.2941176310748798,0.032258064516129,0.6730116670092565,1.0,0.0,0.02,0.0,0.0,0.3978643568478842,1.1454020549681565,1.0216512475319814,1.1454020549681565,1.0216512475319814,0.14317525687101956,0.1459501782188545,2.7855974901145526
24,Mpala01-25,25,0.3619047619047619,0.2952380952380952,0.3619047619047619,0.2952380952380952,25.0,25.0,14/01/2022,70.0,25.0,40.0,44.0,81.0,47.5,178.79,167.46,KLEE,OUT,,small,16.0905,162.6995,151.3695,11.33,81.0,0.81,0.0215976033359766,0.0258548380807042,0.0395925603806972,0.0567254796624183,0.176077464222908,0.1850112229585647,0.0508866049349308,0.0375154875218868,1.0,0.0,0.02,0.1115735762870638,0.0483870967741935,0.7263440503958352,1.0,0.0,0.02,0.0,0.0,0.3177877879753977,0.83777625688061,0.6997905139067071,0.83777625688061,0.6997905139067071,0.10472203211007625,0.09997007341524387,5.019723867604586
25,Mpala01-26,26,0.7960993575562283,0.7764915144189733,0.803921568627451,0.7843137254901961,26.0,26.0,14/01/2022,80.0,9.0,13.0,14.0,9.0,11.25,209.2,204.55,KLEE,IN,AD,big,32.334,176.866,172.216,4.65,14.0,0.14,0.0437106937170028,0.0634430265054106,0.0895030982792377,0.1092271022498607,0.5987587666511536,0.6811947822570801,0.1294337064027786,0.1411956846714019,3.0,1.75,2.75,0.973519888716386,0.1774193548387097,1.938718913278452,0.8139851689338684,0.2727272727272727,1.6666666666666667,1.047483757498045,1.59111456835146,0.7167556029473036,2.6480106160618195,2.60840536146946,2.6480106160618195,2.60840536146946,0.33100132700772744,0.37262933735278,5.148749502892145
26,Mpala01-27,27,0.32,0.24,0.32,0.24,27.0,27.0,14/01/2022,40.0,4.0,5.0,29.0,6.0,11.0,40.36,38.81,KLEE,OUT,,small,16.0905,24.2695,22.7195,1.55,29.0,0.29,0.0203082095831632,0.0276106628589332,0.0377377998083829,0.0419324273243546,0.0580752012133598,0.0619045011699199,0.036801990121603,0.0107114780694246,1.0,0.0,0.02,0.3230782838408236,0.032258064516129,0.5773540491432572,1.0,0.0,0.02,0.0,0.0,0.3199296026810048,0.7156369092816228,0.5488736914035206,0.7156369092816228,0.5488736914035206,0.08945461366020285,0.07841052734336008,3.1232235865685385
27,Mpala01-29,29,0.6119402985074627,0.582089552238806,0.6119402985074627,0.582089552238806,29.0,29.0,14/01/2022,80.0,27.0,22.0,19.0,36.0,26.0,279.24,269.1,KLEE,OUT,,big,32.334,246.906,236.766,10.14,36.0,0.36,0.0288651827722787,0.0390130840241909,0.0756934881210327,0.0956599526107311,0.1766809725761413,0.1819007694721222,0.0820028483867645,0.0445368066430091,1.0,0.0,0.25,1.3747217566047605,0.032258064516129,0.6796085823169076,0.8101364374160767,0.0,0.25,0.0,0.0,0.5109873288964719,1.8055869174221824,1.7449762184315245,1.8055869174221824,1.7449762184315245,0.2256983646777728,0.24928231691878922,5.4670723116200195
28,Mpala01-30,30,0.5147058823529411,0.4264705882352941,0.5147058823529411,0.4264705882352941,30.0,30.0,14/01/2022,35.0,12.0,9.0,0.0,14.0,8.75,55.46,54.21,KLEE,OUT,,small,16.0905,39.3695,38.1195,1.25,14.0,0.14,0.020540514960885,0.0371106155216693,0.0471933707594871,0.0835935547947883,0.1568937289714812,0.1681512296199798,0.0635996907949447,0.0402625389397144,1.0,0.0,0.02,0.1191780161432385,0.032258064516129,0.6822947159310485,0.939686954021454,0.0,0.02,0.0,0.0,0.4134892433406671,1.2966387583549508,1.1118921180929207,1.2966387583549508,1.1118921180929207,0.16207984479436885,0.1588417311561315,3.640725962225688
29,Mpala01-28,28,0.5813953488372093,0.5813953488372093,0.5813953488372093,0.5813953488372093,28.0,28.0,14/01/2022,90.0,49.0,50.0,45.0,30.0,43.5,183.72,173.03,KLEE,IN,AD,big,32.334,151.386,140.696,10.69,50.0,0.5,0.0241820160299539,0.039745083078742,0.0729031004011631,0.0948650408536195,0.1228709667921066,0.1254463046789169,0.0694168359041214,0.031391903758049,2.0,2.0,2.25,1.0184367524041722,0.064516129032258,1.3136415622946915,0.9572032690048218,0.4444444444444444,1.25,1.0,1.25,0.5180279383954243,1.7416567155947955,1.7416567155947955,1.7416567155947955,1.7416567155947955,0.21770708944934944,0.24880810222782793,4.946601534434063
