,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,Letter,GPS #,Date Harvested,Site,% Cover,Height 1,Height 2,Height 3,Height 4,Dry Weight (g),Location,Tree Species,DPM,0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
21,KrugerLowerSabie2022-B11,B11,1.0,1.0,1.0,1.0,B11,B,11.0,Sep 26 2022,Lower Sabie west,100,80.0,65.0,55.0,90.0,203.61,No trees,,32.0,0.0659999996423721,0.2544208168983459,0.3172798752784729,0.375,0.4520339047908783,0.5067395567893982,0.3037741482257843,0.0942368507385253,1.0,0.0,0.5,1.0372088120169003,0.0483870967741935,0.5774192847082882,0.3738797903060913,0.0,0.5,0.0,0.0,1.1612915799587145,3.3730303408113547,3.3730303408113547,3.3730303408113547,3.3730303408113547,0.42162879260141933,0.48186147725876494,5.316206399383777
22,KrugerLowerSabie2022-B12,B12,0.9344978165938864,0.8864628820960698,0.9344978165938864,0.8864628820960698,B12,B,12.0,Sep 26 2022,Lower Sabie west,100,15.0,25.0,30.0,35.0,96.85,No trees,,13.5,0.0219999998807907,0.0610351543873548,0.0984028577804565,0.1347909420728683,0.2040318429470062,0.2196758836507797,0.0992432981729507,0.0491289906203746,1.0,0.0,0.25,1.158968355952551,0.032258064516129,0.3538472274230547,0.6195963025093079,0.0,0.25,0.0,0.0,0.6962624901846848,4.449704812595816,4.351250931065515,4.449704812595816,4.351250931065515,0.556213101574477,0.6216072758665021,4.573163389853005
23,KrugerLowerSabie2022-B13,B13,0.8598484848484849,0.7083333333333334,0.8598484848484849,0.7083333333333334,B13,B,13.0,Sep 26 2022,Lower Sabie west,80,10.0,2.0,5.0,5.0,79.79,No trees,,6.0,0.0202499814331531,0.0319787599146366,0.0443140193819999,0.0579345654696226,0.0789193776249885,0.0905402228236198,0.0463826954364776,0.0163296647369861,1.0,0.0,0.25,3.124532378220356,0.032258064516129,0.6036372515003262,0.6196905374526978,0.0,0.25,0.0,0.0,0.600669817894195,2.7928934651678174,2.464287362585265,2.7928934651678174,2.464287362585265,0.3491116831459772,0.352041051797895,4.379398183320189
24,KrugerLowerSabie2022-B14,B14,0.9969230769230768,0.9876923076923076,0.9969230769230768,0.9876923076923076,B14,B,14.0,Sep 26 2022,Lower Sabie west,90,45.0,30.0,30.0,55.0,86.48,No trees,,12.0,0.0226013530045747,0.0695168823003768,0.0975478366017341,0.1284713298082351,0.2184550166130066,0.2530890107154846,0.103654533624649,0.0487487725913524,1.0,0.0,0.25,1.0377707551124198,0.0483870967741935,0.1037407712713839,0.6167356371879578,0.0,0.25,0.0,0.0,0.7412981638568528,8.015024417988188,7.996477144417531,8.015024417988188,7.996477144417531,1.0018780522485236,1.142353877773933,4.4599131733309525
25,KrugerLowerSabie2022-B16,B16,0.94311377245509,0.8562874251497006,0.94311377245509,0.8562874251497006,B16,B,16.0,Sep 26 2022,Lower Sabie west,45,25.0,0.0,20.0,35.0,57.71,No trees,,7.0,0.0199999995529651,0.0462296176701784,0.0741991624236106,0.1012546680867672,0.1690344297885894,0.2066139429807663,0.0770321041345596,0.0381540991365909,1.0,0.0,0.25,1.4279025346143144,0.032258064516129,0.4116460635813214,0.6893192529678345,0.0,0.25,0.0,0.0,0.6820419661254769,4.061538396876197,3.879879964137619,4.061538396876197,3.879879964137619,0.5076922996095247,0.5542685663053741,4.055430468722875
26,KrugerLowerSabie2022-B17,B17,0.9198471771149322,0.8217459112921474,0.9208860759493672,0.8227848101265823,B17,B,17.0,Sep 26 2022,Lower Sabie west,85,20.0,35.0,30.0,10.0,73.64,No trees,,10.0,0.0202008336782455,0.0428859796375036,0.0618127770721912,0.0830261409282684,0.1378863233327865,0.5242551565170288,0.067871518433094,0.043085902929306,1.0,0.0,0.25,1.3747451742784202,0.064516129032258,0.5086432655142993,0.8992233872413635,0.0,0.25,0.0,0.0,0.6679269920796403,3.6097827717626267,3.403276705126103,3.6097827717626267,3.403276705126103,0.45122284647032834,0.4861823864465861,4.299188356364877
27,KrugerLowerSabie2022-A14,A14,0.9126506024096386,0.8313253012048193,0.9126506024096386,0.8313253012048193,A14,A,14.0,Sep 26 2022,Lower Sabie west,80,30.0,35.0,20.0,45.0,52.12,No trees,,10.0,0.0200227051973342,0.0406822701916098,0.0570111833512783,0.0882990285754203,0.1582355797290802,0.1969467848539352,0.0683287605643272,0.036948125809431,1.0,0.0,0.25,1.4758530246690489,0.032258064516129,0.453778542352929,0.7410374283790588,0.0,0.25,0.0,0.0,0.6697329301291192,3.729212940980833,3.559566556362679,3.729212940980833,3.559566556362679,0.4661516176226041,0.5085095080518113,3.9535487522566446
28,KrugerLowerSabie2022-A15,A15,0.88,0.6755555555555556,0.88,0.6755555555555556,A15,A,15.0,Sep 26 2022,Lower Sabie west,50,0.0,10.0,15.0,0.0,40.68,No trees,,8.0,0.0211767349392175,0.0369633743539452,0.0585220158100128,0.090079378336668,0.1554840770363807,0.1934109479188919,0.0668591558933258,0.0375306196510791,1.0,0.0,0.25,1.525329236460024,0.032258064516129,0.6301742761045688,0.8029775023460388,0.0,0.25,0.0,0.0,0.5794904042107318,2.7087111148393883,2.251281922112058,2.7087111148393883,2.251281922112058,0.33858888935492354,0.3216117031588654,3.705736571180359
29,KrugerLowerSabie2022-A16,A16,0.9926470588235294,0.9926470588235294,0.9926470588235294,0.9926470588235294,A16,A,16.0,Sep 26 2022,Lower Sabie west,95,30.0,45.0,55.0,50.0,151.67,No trees,,13.0,0.0299999993294477,0.1360546872019767,0.1939798891544342,0.2399203144013881,0.3277239334583283,0.5216403007507324,0.1915106326341629,0.0715158432722091,1.0,0.0,0.25,0.7357846339911336,0.064516129032258,0.5686385120181223,0.6292573809623718,0.0,0.25,0.0,0.0,0.8912192219561055,3.549894027842825,3.549894027842825,3.549894027842825,3.549894027842825,0.44373675348035313,0.5071277182632608,5.021707108063305
30,KrugerLowerSabie2022-B18,B18,0.9710843373493976,0.963855421686747,0.9710843373493976,0.963855421686747,B18,B,18.0,Sep 26 2022,Lower Sabie west,100,60.0,70.0,60.0,55.0,121.46,No trees,,15.0,0.0210727658122777,0.1039754785597324,0.1488325446844101,0.2016585282981395,0.2989477664232254,0.3929820358753204,0.1534821540117263,0.066668190062046,1.0,0.0,0.25,0.8076721096504911,0.0483870967741935,0.4182584768414761,0.6278031468391418,0.0,0.25,0.0,0.0,0.7639712966361368,4.5690565245314945,4.55454618276915,4.5690565245314945,4.55454618276915,0.5711320655664368,0.6506494546813072,4.799584990469429
